Company,Customer ID,Cliente,Pagador,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rabates,True Outstanding Loan Value,True Payment Status,payment_efficiency
Abaco Technologies,CLIAB001000,"EMPRESA EJEMPLO 1, S.A. DE C.V.","PAGADOR EJEMPLO 1, S.A. DE C.V.",DSB2464-431,2025-04-06,22.67,20367.94,USD,18866.61,1064.69,802.46,,203.68,104.32,0,740.99,On Time,0.9262895511279001
Abaco Technologies,CLIAB001000,"EMPRESA EJEMPLO 1, S.A. DE C.V.","PAGADOR EJEMPLO 1, S.A. DE C.V.",DSB2464-431,2025-03-01,85.3,21123.08,USD,18215.28,1717.65,598.93,,211.23,77.86,0,1026.69,Prepayment,0.8623401511521993
Abaco Financial,CLIAB001001,"EMPRESA EJEMPLO 2, S.A. DE C.V.","PAGADOR EJEMPLO 2, S.A. DE C.V.",DSB9353-755,2026-03-24,18.91,40530.4,USD,36338.27,3593.79,1923.13,,405.3,250.01,0,8495.34,On Time,0.8965682549395021
Abaco Financial,CLIAB001001,"EMPRESA EJEMPLO 2, S.A. DE C.V.","PAGADOR EJEMPLO 2, S.A. DE C.V.",DSB9353-755,2025-12-26,65.15,45297.62,USD,39408.21,2390.64,1678.46,,452.98,218.2,0,1941.37,On Time,0.8699841183708988
Abaco Financial,CLIAB001002,"EMPRESA EJEMPLO 3, S.A. DE C.V.","PAGADOR EJEMPLO 3, S.A. DE C.V.",DSB5864-085,2025-03-22,41.86,5224.09,USD,4665.7,284.07,148.8,,52.24,19.34,0,1700.34,On Time,0.8931124846624005
Abaco Financial,CLIAB001002,"EMPRESA EJEMPLO 3, S.A. DE C.V.","PAGADOR EJEMPLO 3, S.A. DE C.V.",DSB5864-085,2025-05-19,65.34,4358.33,USD,3722.67,356.75,165.26,,43.58,21.48,0,1117.86,On Time,0.8541505576677305
Abaco Financial,CLIAB001002,"EMPRESA EJEMPLO 3, S.A. DE C.V.","PAGADOR EJEMPLO 3, S.A. DE C.V.",DSB5864-085,2025-08-03,91.29,4977.45,USD,4529.29,374.88,151.87,,49.77,19.74,0,1975.02,On Time,0.9099619282966178
Abaco Financial,CLIAB001002,"EMPRESA EJEMPLO 3, S.A. DE C.V.","PAGADOR EJEMPLO 3, S.A. DE C.V.",DSB5864-085,2025-05-15,79.45,5088.6,USD,4601.63,342.69,168.28,,50.89,21.88,0,1616.71,On Time,0.9043017725897103
Abaco Financial,CLIAB001003,"EMPRESA EJEMPLO 4, S.A. DE C.V.","PAGADOR EJEMPLO 4, S.A. DE C.V.",DSB6075-744,2025-10-29,45.28,8861.34,USD,8011.54,879.42,426.85,,88.61,55.49,0,686.06,On Time,0.9041002828014725
Abaco Financial,CLIAB001003,"EMPRESA EJEMPLO 4, S.A. DE C.V.","PAGADOR EJEMPLO 4, S.A. DE C.V.",DSB6075-744,2025-05-22,44.88,6634.8,USD,6110.74,422.29,200.65,,66.35,26.09,0,3156.46,On Time,0.9210134442635799
Abaco Technologies,CLIAB001004,"EMPRESA EJEMPLO 5, S.A. DE C.V.","PAGADOR EJEMPLO 5, S.A. DE C.V.",DSB4993-438,2025-04-24,17.72,70977.82,USD,66752.98,5846.86,2000.95,,709.78,260.12,0,4884.46,On Time,0.9404766164979425
Abaco Financial,CLIAB001005,"EMPRESA EJEMPLO 6, S.A. DE C.V.","PAGADOR EJEMPLO 6, S.A. DE C.V.",DSB7864-182,2025-01-20,29.51,701.2,USD,656.05,47.57,29.96,,7.01,3.89,0,350.66,On Time,0.9356103822019394
Abaco Financial,CLIAB001005,"EMPRESA EJEMPLO 6, S.A. DE C.V.","PAGADOR EJEMPLO 6, S.A. DE C.V.",DSB7864-182,2025-02-14,86.31,629.7,USD,581.19,61.09,24.0,,6.3,3.12,0,965.05,On Time,0.9229633158646975
Abaco Financial,CLIAB001005,"EMPRESA EJEMPLO 6, S.A. DE C.V.","PAGADOR EJEMPLO 6, S.A. DE C.V.",DSB7864-182,2025-03-02,13.71,641.5,USD,552.78,53.96,31.11,,6.42,4.04,0,861.08,On Time,0.8616991426344505
Abaco Financial,CLIAB001005,"EMPRESA EJEMPLO 6, S.A. DE C.V.","PAGADOR EJEMPLO 6, S.A. DE C.V.",DSB7864-182,2025-02-20,21.79,666.74,USD,592.74,45.18,14.24,,6.67,1.85,0,17.81,On Time,0.8890122086570478
Abaco Financial,CLIAB001006,"EMPRESA EJEMPLO 7, S.A. DE C.V.","PAGADOR EJEMPLO 7, S.A. DE C.V.",DSB8753-402,2025-07-18,56.06,30591.01,USD,27602.71,2599.76,988.88,,305.91,128.55,0,10567.66,On Time,0.9023144381306796
