Company,Customer ID,Cliente,Pagador,Loan ID,Payment Date,TPV,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value,interest_burden
Abaco Technologies,CLIAB001000,"EMPRESA EJEMPLO 1, S.A. DE C.V.","PAGADOR EJEMPLO 1, S.A. DE C.V.",DSB2464-431,2025-08-01,38079.47,41887.42,USD,38079.47,3807.95,1256.62,,418.87,,0,0.09090915601868044
Abaco Financial,CLIAB001001,"EMPRESA EJEMPLO 2, S.A. DE C.V.","PAGADOR EJEMPLO 2, S.A. DE C.V.",DSB9353-755,2026-03-29,86751.44,95426.58,USD,86751.44,8675.14,2862.8,,954.27,,0,0.09090905280268868
Abaco Financial,CLIAB001002,"EMPRESA EJEMPLO 3, S.A. DE C.V.","PAGADOR EJEMPLO 3, S.A. DE C.V.",DSB5864-085,2025-08-21,19000.67,20900.74,USD,19000.67,1900.07,627.02,,209.01,,0,0.090909221395989
Abaco Financial,CLIAB001003,"EMPRESA EJEMPLO 4, S.A. DE C.V.","PAGADOR EJEMPLO 4, S.A. DE C.V.",DSB6075-744,2025-08-16,14809.89,16290.88,USD,14809.89,1480.99,488.73,,162.91,,0,0.09090914671276196
Abaco Technologies,CLIAB001004,"EMPRESA EJEMPLO 5, S.A. DE C.V.","PAGADOR EJEMPLO 5, S.A. DE C.V.",DSB4993-438,2025-03-04,86134.1,94747.51,USD,86134.1,8613.41,2842.43,,947.48,,0,0.09090909090909083
Abaco Financial,CLIAB001005,"EMPRESA EJEMPLO 6, S.A. DE C.V.","PAGADOR EJEMPLO 6, S.A. DE C.V.",DSB7864-182,2025-05-06,2580.66,2838.73,USD,2580.66,258.07,85.16,,28.39,,0,0.09091037189165585
Abaco Financial,CLIAB001006,"EMPRESA EJEMPLO 7, S.A. DE C.V.","PAGADOR EJEMPLO 7, S.A. DE C.V.",DSB8753-402,2025-05-18,26619.22,29281.14,USD,26619.22,2661.92,878.43,,292.81,,0,0.09090902881513485
Abaco Financial,CLIAB001007,"EMPRESA EJEMPLO 8, S.A. DE C.V.","PAGADOR EJEMPLO 8, S.A. DE C.V.",DSB1547-190,2026-01-16,45525.66,50078.23,USD,45525.66,4552.57,1502.35,,500.78,,0,0.09090916352275225
Abaco Financial,CLIAB001008,"EMPRESA EJEMPLO 9, S.A. DE C.V.","PAGADOR EJEMPLO 9, S.A. DE C.V.",DSB5739-010,2025-07-14,27863.55,30649.91,USD,27863.55,2786.36,919.5,,306.5,,0,0.0909092392114692
Abaco Financial,CLIAB001009,"EMPRESA EJEMPLO 10, S.A. DE C.V.","PAGADOR EJEMPLO 10, S.A. DE C.V.",DSB5827-401,2025-11-18,8380.51,9218.56,USD,8380.51,838.05,276.56,,92.19,,0,0.09090899229380722
Abaco Financial,CLIAB001010,"EMPRESA EJEMPLO 11, S.A. DE C.V.","PAGADOR EJEMPLO 11, S.A. DE C.V.",DSB5951-131,2025-01-12,60990.04,67089.04,USD,60990.04,6099.0,2012.67,,670.89,,0,0.09090903670703876
Abaco Technologies,CLIAB001011,"EMPRESA EJEMPLO 12, S.A. DE C.V.","PAGADOR EJEMPLO 12, S.A. DE C.V.",DSB8811-044,2025-09-23,31787.25,34965.98,USD,31787.25,3178.73,1048.98,,349.66,,0,0.0909092209055774
Abaco Technologies,CLIAB001012,"EMPRESA EJEMPLO 13, S.A. DE C.V.","PAGADOR EJEMPLO 13, S.A. DE C.V.",DSB7850-678,2025-10-22,85042.47,93546.72,USD,85042.47,8504.25,2806.4,,935.47,,0,0.0909091200632155
Abaco Technologies,CLIAB001013,"EMPRESA EJEMPLO 14, S.A. DE C.V.","PAGADOR EJEMPLO 14, S.A. DE C.V.",DSB7492-128,2025-04-30,11681.25,12849.38,USD,11681.25,1168.13,385.48,,128.49,,0,0.09090944465803008
Abaco Financial,CLIAB001014,"EMPRESA EJEMPLO 15, S.A. DE C.V.","PAGADOR EJEMPLO 15, S.A. DE C.V.",DSB3919-398,2025-09-07,41627.91,45790.7,USD,41627.91,4162.79,1373.72,,457.91,,0,0.09090907105591295
Abaco Financial,CLIAB001015,"EMPRESA EJEMPLO 16, S.A. DE C.V.","PAGADOR EJEMPLO 16, S.A. DE C.V.",DSB6266-919,2026-01-15,30267.73,33294.5,USD,30267.73,3026.77,998.84,,332.95,,0,0.09090900899547971
Abaco Financial,CLIAB001016,"EMPRESA EJEMPLO 17, S.A. DE C.V.","PAGADOR EJEMPLO 17, S.A. DE C.V.",DSB8300-815,2025-06-25,13086.71,14395.38,USD,13086.71,1308.67,431.86,,143.95,,0,0.09090902775751664
Abaco Technologies,CLIAB001017,"EMPRESA EJEMPLO 18, S.A. DE C.V.","PAGADOR EJEMPLO 18, S.A. DE C.V.",DSB6031-114,2026-02-24,31173.34,34290.67,USD,31173.34,3117.33,1028.72,,342.91,,0,0.09090898486381271
Abaco Financial,CLIAB001018,"EMPRESA EJEMPLO 19, S.A. DE C.V.","PAGADOR EJEMPLO 19, S.A. DE C.V.",DSB1456-372,2024-12-12,17660.81,19426.89,USD,17660.81,1766.08,582.81,,194.27,,0,0.09090904411359713
Abaco Technologies,CLIAB001019,"EMPRESA EJEMPLO 20, S.A. DE C.V.","PAGADOR EJEMPLO 20, S.A. DE C.V.",DSB8352-376,2025-03-14,69934.12,76927.53,USD,69934.12,6993.41,2307.83,,769.28,,0,0.09090906727409553
Abaco Technologies,CLIAB001020,"EMPRESA EJEMPLO 21, S.A. DE C.V.","PAGADOR EJEMPLO 21, S.A. DE C.V.",DSB1784-950,2025-01-11,4272.02,4699.22,USD,4272.02,427.2,140.98,,46.99,,0,0.09090870399768469
Abaco Financial,CLIAB001021,"EMPRESA EJEMPLO 22, S.A. DE C.V.","PAGADOR EJEMPLO 22, S.A. DE C.V.",DSB3165-174,2025-05-06,59676.98,65644.68,USD,59676.98,5967.7,1969.34,,656.45,,0,0.09090911860641249
Abaco Financial,CLIAB001022,"EMPRESA EJEMPLO 23, S.A. DE C.V.","PAGADOR EJEMPLO 23, S.A. DE C.V.",DSB7688-877,2025-10-08,9938.69,10932.56,USD,9938.69,993.87,327.98,,109.33,,0,0.09090917406353127
Abaco Financial,CLIAB001023,"EMPRESA EJEMPLO 24, S.A. DE C.V.","PAGADOR EJEMPLO 24, S.A. DE C.V.",DSB5706-724,2025-10-17,71403.8,78544.18,USD,71403.8,7140.38,2356.33,,785.44,,0,0.09090909090909083
Abaco Technologies,CLIAB001024,"EMPRESA EJEMPLO 25, S.A. DE C.V.","PAGADOR EJEMPLO 25, S.A. DE C.V.",DSB1060-775,2025-03-09,83933.3,92326.63,USD,83933.3,8393.33,2769.8,,923.27,,0,0.09090909090909094
Abaco Financial,CLIAB001025,"EMPRESA EJEMPLO 26, S.A. DE C.V.","PAGADOR EJEMPLO 26, S.A. DE C.V.",DSB9572-697,2025-11-03,55964.88,61561.37,USD,55964.88,5596.49,1846.84,,615.61,,0,0.09090912044355093
Abaco Financial,CLIAB001026,"EMPRESA EJEMPLO 27, S.A. DE C.V.","PAGADOR EJEMPLO 27, S.A. DE C.V.",DSB2779-714,2025-04-09,28608.26,31469.09,USD,28608.26,2860.83,944.07,,314.69,,0,0.0909092064625956
Abaco Technologies,CLIAB001027,"EMPRESA EJEMPLO 28, S.A. DE C.V.","PAGADOR EJEMPLO 28, S.A. DE C.V.",DSB3656-173,2025-01-12,89956.86,98952.55,USD,89956.86,8995.69,2968.58,,989.53,,0,0.09090912765765002
Abaco Financial,CLIAB001028,"EMPRESA EJEMPLO 29, S.A. DE C.V.","PAGADOR EJEMPLO 29, S.A. DE C.V.",DSB4796-363,2025-03-17,55324.65,60857.12,USD,55324.65,5532.47,1825.71,,608.57,,0,0.09090916559968665
Abaco Technologies,CLIAB001029,"EMPRESA EJEMPLO 30, S.A. DE C.V.","PAGADOR EJEMPLO 30, S.A. DE C.V.",DSB6547-874,2025-05-24,74902.65,82392.91,USD,74902.65,7490.26,2471.79,,823.93,,0,0.0909090357410608
Abaco Financial,CLIAB001030,"EMPRESA EJEMPLO 31, S.A. DE C.V.","PAGADOR EJEMPLO 31, S.A. DE C.V.",DSB3974-892,2025-11-15,25795.72,28375.29,USD,25795.72,2579.57,851.26,,283.75,,0,0.09090902683285351
Abaco Financial,CLIAB001031,"EMPRESA EJEMPLO 32, S.A. DE C.V.","PAGADOR EJEMPLO 32, S.A. DE C.V.",DSB6706-529,2025-04-20,67223.48,73945.83,USD,67223.48,6722.35,2218.37,,739.46,,0,0.09090911549711467
Abaco Financial,CLIAB001032,"EMPRESA EJEMPLO 33, S.A. DE C.V.","PAGADOR EJEMPLO 33, S.A. DE C.V.",DSB5812-313,2025-05-23,99460.5,109406.55,USD,99460.5,9946.05,3282.2,,1094.07,,0,0.09090909090909094
Abaco Financial,CLIAB001033,"EMPRESA EJEMPLO 34, S.A. DE C.V.","PAGADOR EJEMPLO 34, S.A. DE C.V.",DSB6747-458,2025-06-01,55723.73,61296.1,USD,55723.73,5572.37,1838.88,,612.96,,0,0.09090904641567732
Abaco Technologies,CLIAB001034,"EMPRESA EJEMPLO 35, S.A. DE C.V.","PAGADOR EJEMPLO 35, S.A. DE C.V.",DSB3913-537,2025-07-23,17779.78,19557.76,USD,17779.78,1777.98,586.73,,195.58,,0,0.09090918387381786
Abaco Technologies,CLIAB001035,"EMPRESA EJEMPLO 36, S.A. DE C.V.","PAGADOR EJEMPLO 36, S.A. DE C.V.",DSB8542-149,2025-05-18,99015.33,108916.86,USD,99015.33,9901.53,3267.51,,1089.17,,0,0.09090906586914094
Abaco Technologies,CLIAB001036,"EMPRESA EJEMPLO 37, S.A. DE C.V.","PAGADOR EJEMPLO 37, S.A. DE C.V.",DSB6596-611,2025-10-23,36589.62,40248.58,USD,36589.62,3658.96,1207.46,,402.49,,0,0.09090904573527814
Abaco Technologies,CLIAB001037,"EMPRESA EJEMPLO 38, S.A. DE C.V.","PAGADOR EJEMPLO 38, S.A. DE C.V.",DSB8829-728,2025-05-19,50650.11,55715.12,USD,50650.11,5065.01,1671.45,,557.15,,0,0.090909074592319
Abaco Technologies,CLIAB001038,"EMPRESA EJEMPLO 39, S.A. DE C.V.","PAGADOR EJEMPLO 39, S.A. DE C.V.",DSB4544-878,2026-02-03,44408.94,48849.83,USD,44408.94,4440.89,1465.5,,488.5,,0,0.09090901646945337
Abaco Technologies,CLIAB001039,"EMPRESA EJEMPLO 40, S.A. DE C.V.","PAGADOR EJEMPLO 40, S.A. DE C.V.",DSB8598-413,2025-04-28,4844.64,5329.1,USD,4844.64,484.46,159.87,,53.29,,0,0.09090840854928595
Abaco Financial,CLIAB001040,"EMPRESA EJEMPLO 41, S.A. DE C.V.","PAGADOR EJEMPLO 41, S.A. DE C.V.",DSB9014-215,2025-02-19,46269.25,50896.18,USD,46269.25,4626.93,1526.89,,508.96,,0,0.09090918021745442
Abaco Technologies,CLIAB001041,"EMPRESA EJEMPLO 42, S.A. DE C.V.","PAGADOR EJEMPLO 42, S.A. DE C.V.",DSB5523-825,2025-05-05,52113.73,57325.1,USD,52113.73,5211.37,1719.75,,573.25,,0,0.09090904333354843
Abaco Technologies,CLIAB001042,"EMPRESA EJEMPLO 43, S.A. DE C.V.","PAGADOR EJEMPLO 43, S.A. DE C.V.",DSB3259-161,2025-10-13,96302.19,105932.41,USD,96302.19,9630.22,3177.97,,1059.32,,0,0.09090909949089232
Abaco Financial,CLIAB001043,"EMPRESA EJEMPLO 44, S.A. DE C.V.","PAGADOR EJEMPLO 44, S.A. DE C.V.",DSB4909-687,2024-12-06,55373.44,60910.78,USD,55373.44,5537.34,1827.32,,609.11,,0,0.09090903120925387
Abaco Financial,CLIAB001044,"EMPRESA EJEMPLO 45, S.A. DE C.V.","PAGADOR EJEMPLO 45, S.A. DE C.V.",DSB4828-830,2025-08-15,61560.35,67716.39,USD,61560.35,6156.04,2031.49,,677.16,,0,0.09090915803397082
